,accd,accddescr,amtcr,amtdr,branchid,branchname,cheqdt,cheqno,co,idn,narr,p_r,runbal,subcode,subdescr,tt,type,vrdt,vrno
0,62,,0.0,0.0,,,1899-12-31T18:30:00Z,,,0,Opening Balance,,0.0,CK00000005,,,A,2022-03-31,
1,62,CLIENTS,5000000.0,0.0,HO,Branch [HO],2022-04-03T18:30:00Z,RTGS,02,40,,R,5000000.0,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,BC,C,2022-04-03,R/00023
2,62,CLIENTS,0.0,1209855.9,HO,Branch [HO],1899-12-31T18:30:00Z,,02,59719,Obligation For: 2223005W [Equities] Trade Date 05/04/22,,3790144.1,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-06,V223005
3,62,CLIENTS,0.0,982039.92,HO,Branch [HO],1899-12-31T18:30:00Z,,02,64656,Obligation For: 2223006W [Equities] Trade Date 06/04/22,,2808104.18,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-07,V223006
4,62,CLIENTS,0.0,444056.03,HO,Branch [HO],1899-12-31T18:30:00Z,,02,64832,Obligation For: 2223007W [Equities] Trade Date 07/04/22,,2364048.15,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-10,V223007
5,62,CLIENTS,0.0,457213.48,HO,Branch [HO],1899-12-31T18:30:00Z,,02,92054,Obligation For: 2223008W [Equities] Trade Date 08/04/22,,1906834.67,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-11,V223008
6,62,CLIENTS,0.0,157346.05,HO,Branch [HO],1899-12-31T18:30:00Z,,02,63003,Obligation For: 2223009W [Equities] Trade Date 11/04/22,,1749488.62,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-12,V223009
7,62,CLIENTS,0.0,324064.57,HO,Branch [HO],1899-12-31T18:30:00Z,,02,63272,Obligation For: 2223010W [Equities] Trade Date 12/04/22,,1425424.05,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-17,V223010
8,62,CLIENTS,0.0,77323.19,HO,Branch [HO],1899-12-31T18:30:00Z,,02,63515,Obligation For: 2223011W [Equities] Trade Date 13/04/22,,1348100.86,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-18,V223011
9,62,CLIENTS,0.0,0.06,HO,Branch [HO],1899-12-31T18:30:00Z,,03,8832,Sebi Charges for 19/04/22,,1348100.8,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,SB,J,2022-04-18,U190422
10,62,CLIENTS,0.0,2.26,HO,Branch [HO],1899-12-31T18:30:00Z,,03,8725,Central GST for 19/04/22,,1348098.54,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,GT,J,2022-04-18,GT1904
11,62,CLIENTS,0.0,2.26,HO,Branch [HO],1899-12-31T18:30:00Z,,03,8726,State GST for 19/04/22,,1348096.28,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,GT,J,2022-04-18,GT1904
12,62,CLIENTS,0.0,0.2,HO,Branch [HO],1899-12-31T18:30:00Z,,03,8836,Clearing Charges on 19/04/22,,1348096.08,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,CH,J,2022-04-18,H190422
13,62,CLIENTS,0.0,21316.5,HO,Branch [HO],1899-12-31T18:30:00Z,,03,8739,PREMIUM FOR 19/04/22 [Derivatives],,1326779.58,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,PM,J,2022-04-18,PRM2004
14,62,CLIENTS,0.0,1.0,HO,Branch [HO],1899-12-31T18:30:00Z,,03,8714,Stamp Duty for 19/04/22,,1326778.58,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,BN,J,2022-04-18,S190422
15,62,CLIENTS,0.0,20.94,HO,Branch [HO],1899-12-31T18:30:00Z,,03,8733,Transaction Charges for 19/04/22,,1326757.64,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,TR,J,2022-04-18,X190422
16,62,CLIENTS,0.0,5.0,HO,Branch [HO],1899-12-31T18:30:00Z,,03,8825,Securities Transaction Tax for 19/04/22,,1326752.64,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,TT,J,2022-04-18,Y190422
17,62,CLIENTS,0.0,7.0,HO,Branch [HO],1899-12-31T18:30:00Z,,03,9001,Securities Transaction Tax for 20/04/22,,1326745.64,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,TT,J,2022-04-19,Y200422
18,62,CLIENTS,0.0,7.39,HO,Branch [HO],1899-12-31T18:30:00Z,,03,8900,Transaction Charges for 20/04/22,,1326738.25,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,TR,J,2022-04-19,X200422
19,62,CLIENTS,13938.25,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,03,8906,PREMIUM FOR 20/04/22 [Derivatives],,1340676.5,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,PM,J,2022-04-19,PRM2104
20,62,CLIENTS,0.0,0.05,HO,Branch [HO],1899-12-31T18:30:00Z,,03,9016,Clearing Charges on 20/04/22,,1340676.45,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,CH,J,2022-04-19,H200422
21,62,CLIENTS,0.0,0.94,HO,Branch [HO],1899-12-31T18:30:00Z,,03,8892,Central GST for 20/04/22,,1340675.51,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,GT,J,2022-04-19,GT2004
22,62,CLIENTS,0.0,0.94,HO,Branch [HO],1899-12-31T18:30:00Z,,03,8893,State GST for 20/04/22,,1340674.57,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,GT,J,2022-04-19,GT2004
23,62,CLIENTS,0.0,0.02,HO,Branch [HO],1899-12-31T18:30:00Z,,03,9012,Sebi Charges for 20/04/22,,1340674.55,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,SB,J,2022-04-19,U200422
24,62,CLIENTS,0.0,308960.88,HO,Branch [HO],1899-12-31T18:30:00Z,,02,63752,Obligation For: 2223012W [Equities] Trade Date 18/04/22,,1031713.67,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-19,V223012
25,62,CLIENTS,0.0,0.01,HO,Branch [HO],1899-12-31T18:30:00Z,,03,9891,Sebi Charges for 21/04/22,,1031713.66,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,SB,J,2022-04-20,U210422
26,62,CLIENTS,0.0,0.5,HO,Branch [HO],1899-12-31T18:30:00Z,,03,9757,Central GST for 21/04/22,,1031713.16,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,GT,J,2022-04-20,GT2104
27,62,CLIENTS,0.0,0.5,HO,Branch [HO],1899-12-31T18:30:00Z,,03,9758,State GST for 21/04/22,,1031712.66,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,GT,J,2022-04-20,GT2104
28,62,CLIENTS,4872.0,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,03,9784,PREMIUM FOR 21/04/22 [Derivatives],,1036584.66,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,PM,J,2022-04-20,PRM2204
29,62,CLIENTS,0.0,2.58,HO,Branch [HO],1899-12-31T18:30:00Z,,03,9765,Transaction Charges for 21/04/22,,1036582.08,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,TR,J,2022-04-20,X210422
30,62,CLIENTS,0.0,2.0,HO,Branch [HO],1899-12-31T18:30:00Z,,03,9880,Securities Transaction Tax for 21/04/22,,1036580.08,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,TT,J,2022-04-20,Y210422
31,62,CLIENTS,0.0,7.0,HO,Branch [HO],1899-12-31T18:30:00Z,,03,74383,Securities Transaction Tax for 22/04/22,,1036573.08,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,TT,J,2022-04-21,Y220422
32,62,CLIENTS,0.0,7.06,HO,Branch [HO],1899-12-31T18:30:00Z,,03,74312,Transaction Charges for 22/04/22,,1036566.02,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,TR,J,2022-04-21,X220422
33,62,CLIENTS,13325.5,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,03,74333,PREMIUM FOR 22/04/22 [Derivatives],,1049891.52,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,PM,J,2022-04-21,PRM3105
34,62,CLIENTS,0.0,0.82,HO,Branch [HO],1899-12-31T18:30:00Z,,03,74306,Central GST for 22/04/22,,1049890.7,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,GT,J,2022-04-21,GT2204
35,62,CLIENTS,0.0,0.82,HO,Branch [HO],1899-12-31T18:30:00Z,,03,74307,State GST for 22/04/22,,1049889.88,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,GT,J,2022-04-21,GT2204
